"Species","Longitude","Latitude"
"Fchaus",77.72647,25.45632
"Fchaus",80.9966,22.17018
"Fchaus",81.0028,23.61619
"Fchaus",80.69232,22.21507
"Fchaus",81.07306,23.59606
"Fchaus",80.63538,22.35855
"Fchaus",80.92085,22.13683
"Fchaus",77.22524,25.77425
"Fchaus",80.55006,22.38494
"Fchaus",80.52478,22.26865
"Fchaus",80.74128,22.228
"Fchaus",80.97679,22.24146
"Fchaus",80.56911,22.32455
"Fchaus",77.18847,25.88033
"Fchaus",80.74564,22.12407
"Fchaus",76.583333,11.25
"Fchaus",76.7,12.3
"Fchaus",78.520472,13.596833
"Fchaus",78.598556,13.637639
"Fchaus",75.15,18.406
"Fchaus",73.35,18.483333
"Fchaus",75.274887,18.553661
"Fchaus",74.934311,18.631758
"Fchaus",75.260468,18.726077
"Fchaus",73.333333,19.966667
"Fchaus",73.30868,25.82588
"Fchaus",73.3118,25.88061
"Fchaus",78.769226,29.472441
"Fchaus",75.90597,17.78722
"Fchaus",75.86597,17.78722
"Fchaus",71.04595,26.83238
"Fchaus",76.39637,27.3306
"Fchaus",73.09224,27.9282
"Fchaus",72.45478,27.94966
"Fchaus",85.833333,20.393056
"Fchaus",71.2,22.066667
"Fchaus",92.732849,23.754511
"Fchaus",91.75,26.166667
"Fchaus",78.574444,17.309167
"Fchaus",94.36603333,25.46647222
"Fchaus",78.68158,15.99013
"Fchaus",84.47963,27.46827
"Fchaus",76.666667,11.558333
"Fchaus",76.55,11.558333
"Fchaus",76.733333,11.608333
"Fchaus",77.589656,13.073654
"Fchaus",83.28333333,17.96666667
"Fchaus",82.98333333,17.6
"Fchaus",82.43333333,17.65
"Fchaus",82.2,18.06666667
"Fchaus",82.01666667,18.13333333
"Fchaus",77.2,11.86666667
"Fchaus",77.06666667,11.86666667
"Fchaus",85.468573,27.728028
"Fchaus",85.298407,27.736324
"Fchaus",87.739532,27.48474
