"Species","Longitude","Latitude"
"bandicota",76.83333333,31.08333333
"bandicota",77.58333333,31.16666667
"bandicota",73.08333333,31.41666667
"bandicota",73.98333333,31.71666667
"bandicota",76.26666667,32.1
"bandicota",74.2,32.16666667
"bandicota",74.53333333,32.5
"bandicota",76.13333333,32.56666667
"bandicota",74.96666667,32.88333333
"bandicota",73.06666667,33.6
"bandicota",74.83333333,34.08333333
"bandicota",73.2,34.13333333
"bandicota",71.55,34.33333333
"bandicota",73.46666667,34.36666667
"bandicota",73.25,34.5
"bandicota",71.95,34.55
"bandicota",85.33333333,19.76666667
"bandicota",74.08333333,20.21666667
"bandicota",70.6,21.16666667
"bandicota",80.33333333,21.96666667
"bandicota",72.43333333,24.16666667
"bandicota",91.5,25.5
"bandicota",75.08333333,26.96666667
"bandicota",85.31666667,27.71666667
"bandicota",85.3,27.73333333
"bandicota",74.41666667,30.33333333
"bandicota",92.676,24.2313
"bandicota",91.3965,23.0107
"bandicota",91.2375,23.4371
"bandicota",90.407,23.71
"bandicota",68.10759,24.41584
"bandicota",67.81667,24.6
"bandicota",79.33,10.47
"bandicota",79.14,10.78
"bandicota",78.81,10.87
"bandicota",78.78,10.57
"cannomys",92.6301,23.8052
"cannomys",89.88333333,26.71666667
"cannomys",93.96666667,26.51666667
"cannomys",91.25,26.33333333
"cannomys",88.25,26.75
"cannomys",89.35,26.75
"cannomys",84.33333333,27.58333333
"cannomys",87.91666667,26.91666667
"cannomys",92.45972,22.10944
"cannomys",92.41971,22.04888
"golunda",80.65,6.8
"golunda",81.03333333,8.366666667
"golunda",80.8,6.816666667
"golunda",81.4,6.283333333
"golunda",80.43333333,6.983333333
"golunda",80.2,6.166666667
"golunda",78.5,19.5
"golunda",79.35,18.1
"golunda",78.25,17.75
"golunda",78.46666667,17.36666667
"golunda",78.76666667,19.36666667
"golunda",78.93333333,16.7
"golunda",77.9,17.33333333
"golunda",79.9,17.91666667
"golunda",79.5,19.03333333
"golunda",79.21666667,16.5
"golunda",78.15,16.76666667
"golunda",79.41666667,13.65
"golunda",78.81666667,14.46666667
"golunda",80.15,14.38333333
"golunda",83.75,18.6
"golunda",80.61666667,16.51666667
"golunda",78.58333333,15.88333333
"golunda",78.48333333,15.98333333
"golunda",80.13333333,16.65
"golunda",79.98333333,14.13333333
"golunda",79.58333333,15.08333333
"golunda",79.95,13.81666667
"golunda",79.11666667,15.56666667
"golunda",78.88333333,15.38333333
"golunda",78.78333333,15.73333333
"golunda",91.25,26.33333333
"golunda",72.43333333,24.16666667
"golunda",75.58333333,25.73333333
"golunda",71.66666667,22.75
"golunda",76.76666667,30.36666667
"golunda",76.13333333,32.56666667
"golunda",76.26666667,32.43333333
"golunda",74.83333333,32.75
"golunda",75.83333333,12.83333333
"golunda",76.68333333,12.26666667
"golunda",76.5,12.3
"golunda",75.75,12.41666667
"golunda",75.33333333,15.5
"golunda",80.2,21.8
"golunda",78.2,26.2
"golunda",77.5,22.75
"golunda",76.58333333,21.75
"golunda",78.75,23.75
"golunda",79.3,19.95
"golunda",74.78333333,20.9
"golunda",74.08333333,20.21666667
"golunda",73.86666667,18.53333333
"golunda",73.41666667,18.08333333
"golunda",74.08333333,17.71666667
"golunda",72.25,25.16666667
"golunda",73.01666667,26.28333333
"golunda",73.16666667,25.11666667
"golunda",72.7,24.6
"golunda",78.11666667,9.933333333
"golunda",79.5,29.83333333
"golunda",89.13333333,25.96666667
"golunda",89.91666667,27.75
"golunda",73.96666667,31.08333333
"golunda",73.06666667,33.6
"golunda",66.58333333,25.75
"golunda",67.21666667,24.98333333
"golunda",67.21666667,24.86666667
"golunda",68.36666667,27.66666667
"leopoldamys",96.25,27.38333333
"leopoldamys",96.16666667,28.66666667
"leopoldamys",90.25,25.51666667
"leopoldamys",94.25,26.25
"leopoldamys",88.25,26.75
"mus",92.58333333,22.9
"mus",92.676,24.2313
"mus",90.71739964,25.33260074
"mus",90.82561372,25.29242722
"mus",91.63333333,25.58333333
"mus",80.6,5.95
"mus",80.5,6.4
"mus",80.7,6.983333333
"mus",80.16666667,6.85
"mus",81.11666667,6.933333333
"mus",81.23333333,8.566666667
"mus",80.16666667,6.366666667
"mus",83.88333,28.81667
"mus",87.26667,27.66667
"mus",87.28333333,26.46666667
"mus",83.7,28.78333333
"mus",83.96667,29.18333
"mus",81.28333333,28.63333333
"mus",87.5,27.26666667
"mus",87.28333,27.55
"mus",84.12033637,28.38929682
"mus",83.98333333,28.23333333
"mus",87.43333,27.76667
"mus",81.83333333,28.16666667
"mus",87.31667,27.42772
"mus",83.61667,28.64774
"mus",81.16666667,28.5
"mus",85.41666667,27.75
"mus",87.3,26.92
"mus",79.43333333,16.48333333
"mus",78.75,14.41666667
"mus",82.86666667,18.33333333
"mus",77.23333333,15.38333333
"mus",78.81666667,15.86666667
"mus",77.48333333,13.81666667
"mus",82.48333,17.81667
"mus",79.95,13.81666667
"mus",78.9,16.05
"mus",82.01666667,17.48333333
